Issue key,Issue id,Assignee,Status,Summary,Custom field (Type of Service),Component/s,Custom field (Offering Type),Priority,Custom field (Total amount (€) weighted),Custom field (Type Business Opportunity),Custom field (Country),Custom field (Market),Custom field (Market Manager),Custom field (DN Manager),Custom field (Operations Manager),Custom field (Renewal),Custom field (Código GEP),Custom field (Temporal Scope),Custom field (Receipt of application),Custom field (Delivery Commitment),Custom field (Participants),Custom field (Participants),Custom field (Participants),Custom field (Participants),Custom field (Participants),Custom field (Participants),Custom field (Participants),Custom field (Participants),Custom field (Participants),Custom field (Participants),Custom field (Participants),Custom field (Participants),Custom field (Participants),Custom field (Participants),Custom field (Participants),Custom field (Total Amount (euros)),Custom field (Budg.Loc.Currency),Custom field (Margin),Custom field (Offer Code (NG)),Custom field (Offer Description (NG)),Custom field (Transversal offer),Updated,Created,Custom field (Proposal Due Date),Custom field (Observations),Resolved
OFBRA-3769,18281125,agoncalvest,Cancelled,[NEOENERGIA] - Monitoração e Sustentação 24x7 do amb. de Banco de Dados - ENEOGTINFR,DIC - Infra,Neoenergia,,Minor,"1,091,417",Proposal,Brazil,Energy,vgrecci,ejesus,sbarbosa,No,ENCODI_11,5.0,04/07/25 15:15,25/07/25 15:15,agoncalvest,fcassimirov,htorresg,vgrecci,,,,,,,,,,,,1091417.0,6821356.0,26.0,,,No,27/11/25 12:11,08/07/25 15:27,12/11/25 17:12,"27/11 => KAM informou que cliente deve fazer ajustes na RFP e como não tem previsibilidade de retorno encerrou o processo e deve reabrir quando tiver o retorno.
21/11 => Aguardando cliente, no retorno dos ajustes da RFP.
17/11 => Aguardando cliente, no retorno dos ajustes da RFP.
07/11 => Aguardando cliente.
31/10 => Aguardando cliente.
24/10 => Aguardando cliente.
26/09 => Aguardando cliente.
19/09 => Aguardando cliente.
12/09 => Aguardando cliente.
05/09 => Aguardando cliente.
29/08 => Aguardando cliente.
15/08 => Aguardando cliente.
15/08 = atualizado mdc , atestado e oferta, em negociações.
08/08 = Aguardando retorno do cliente.
01/08 - Proposta técnica feita com preço não vinculante
11/07/2025 - Proposta Técnica pronta, Anderson trabalhando no MdC
08/07/2025 - Criada o Jira",27/11/25 12:11
OFBRA-3787,18324012,ceduardoc,Won-End,Eletrobras Pentest [ENELETSEG],Cyber,Eletrobras,Pentest para multiplas disciplinas,Minor,"72,231",Proposal,Brazil,Energy,lpereiraca,ceduardoc,,No,ENCOCB_7,2.0,04/07/25 11:25,18/07/25 11:25,,,,,,,,,,,,,,,,72231.0,451442.0,20.0,,,No,12/12/25 18:45,16/07/25 11:31,08/12/25 12:25,"12/12 - Alterado para Won/End Ratecard Homologado
01/12 - Segundo Leonardo Câmara, neste momento não fomos elencados para a primeira fase do processo, o cliente da Eletrobrás (Axia) optou por uma empresa 100% Nacional para realizar as atividade relacionadas ao pentest por se tratar de infraestrutura critica nacional
01/12 - Segue sem alteração, manter FUP com Leonardo Câmara sobre o andamento da assinatura do contrato
21/11 - Fomos homologados pela Eletrobras, no aguardo da assinatura do contrato para prestação de serviços
14/07 - Proposta não vinculante enviada ao cliente, o mesmo solicita alteração do conteúdo técnico",12/12/25 18:45
OFBRA-3764,18272147,emoura,Won-End,GOL - RELATÓRIO DE PREÇOS DE MATERIAIS AERONÁUTICOS [ICSAP_GMA],SGE - SAP S4 Hana,GOL Linhas Aereas,Projeto,Minor,"10,857",Proposal,Brazil,Industry,fcrivano,emoura,,No,INCOSG_68,0.1,04/07/25 10:22,11/07/25 10:22,,,,,,,,,,,,,,,,10857.0,67861.0,25.0,,,No,16/07/25 22:06,07/07/25 10:25,31/10/25 17:35,"17/07: Proposta conduzida fora do fluxo/prática. Proposta foi para comitê virtual e a proposta segue agora trâmites após aceite do cliente. Proposta ganha. MOC atualizado.
07/07: Oferta recebida e já iniciada. ",16/07/25 16:38
OFBRA-3763,18265472,glopesal,Rejected,CLARO - Backlog de Produtização Squad TOA - CLATOA,P&A - Gestión de aplicaciones,Claro Brasil,Projeto,Minor,"730,994",Proposal,Brazil,Telco,kgruszkowska,glopesal,ikolomenconkovas,No,TOCOPA_10,1.4,04/07/25 06:00,02/09/25 18:59,wholanda,,,,,,,,,,,,,,,730994.0,4568716.0,24.0,,,Yes,28/10/25 15:55,04/07/25 16:49,10/10/25 15:11,"28/10 - NoGo conforme MOC (Rejeitada a elaboração da proposta). 
26/09 - Mesmo Status
19/09 - Mesmo Status
12/09 - Aguardando retorno do cliente
02/09 - Update Oferta Técnica/Comercia
11/08 - Aguardando feedback
11/07 - Aguardando Feedback Cliente
10/07 - Oferta Entregue ao cliente
04/07 - WIP
04/07 - SEM Divulgação da Oferta (entrega do pacote via Teams)",28/10/25 15:55
OFBRA-3760,18255095,agoncalvest,Rejected,BrasilCap - Sustentação Service Now - MOC BCAP25DS03 ,DIC - Infra,BRASILCAP,BrasilCap - Sustentação Service Now - MOC BCAP25DS03 ,Minor,,Proposal,Brazil,FS,crodrigos,agoncalvest,sbarbosa,No,FSCODI_15,0.0,03/07/25 11:34,18/07/25 11:34,,,,,,,,,,,,,,,,,,,,,No,15/08/25 08:15,03/07/25 11:40,,"23/07 => Oferta não foi seguida devido não sermos competitivos no tema.
18/07 = > Aguardando retorno da espanha.
11/07 = > Anderson irá trabalhar na proposta na semana seguinte.
04/07 => Anderson alinhando os pre requisitos de certificados.
03/07 => Ja realizado o Kick-off interno.",23/07/25 14:33
OFBRA-3765,18272154,jdoss,Abandoned,Gestamp - Rollout Operação SAP Argentina - (IC_GES_ROA),SGE - SAP S4 Hana,Gestamp,Projeto,Minor,"188,094",Proposal,Brazil,Industry,fbezescky,jdoss,,No,INCOSG_67,0.6,03/07/25 10:26,22/09/25 10:26,,,,,,,,,,,,,,,,188094.0,1175588.0,25.0,,,No,27/11/25 15:25,07/07/25 10:28,31/12/25 15:10,"27/11: Abandonada, cliente disse que fará no proximo ano.
19/10: Aguardando retorno do cliente. 
26/09: Oferta entregue ao cliente. 
14/08: Oferta esta sendo avaliada, cliente pediu pra para no momento para focar em outra demanda no momento. 
18/07: Proposta ainda em elaboração.
14/07: oferta sendo trabalhada, ainda pendente algumas informações para fechar o escopo da proposta.
07/07: Oferta recebida e iniciada.",27/11/25 15:25
OFBRA-3797,18352250,htorresg,Cancelled,CPFL - Disponibilização de dados ARSESP ,Datos - Analytics,CPFL,Dados,Minor,"18,247.6",Presale,Brazil,Energy,vgrecci,htorresg,rcampost,No,ENCODA_1,0.1,03/07/25 10:13,05/08/25 10:13,,,,,,,,,,,,,,,,45619.0,296527.0,25.0,,,No,26/11/25 15:28,22/07/25 10:19,07/09/25 10:07,"26/11 - Atualização Jira
05/08 - Ajuste de escopo e valores a pedido da CPFL
29/07 - Enviada versão com escopo definido (itens 1 ao 8) e entrega dos dados com o time de DS (site web)
17/07 - Envio da proposta, alinhada com Operação
03/07 - Recebimento",26/11/25 15:28
OFBRA-3759,18247343,fsuzuki,FollowUp,[BAT] Ratecard diversos perfis (IC_RTC_BAT),Datos - Data Modernization,Britsh  American Tobacco  (BAT),,Minor,"316,456",Proposal,Brazil,Industry,icorrea,fsuzuki,,Yes,INCODA_28,3.0,02/07/25 18:47,14/11/25 19:47,,,,,,,,,,,,,,,,316456.0,2000000.0,26.0,,,Yes,19/12/25 11:34,02/07/25 18:53,07/10/25 13:57,"09/12: Em aprovação com área de suprimentos
14/11: oferta entregue ao cliente
27/10: Aguardando retorno
22/09: GEP alterado de INCODS_20 para INCODA_28
02/07 - Oferta em Elaboração 
22/08 O cliente foi homologado e conseguimos alocar um recurso (PMO), com início programado para setembro.",
OFBRA-3756,18238029,htorresg,Won-End,[BRADESCO] - Renovação do Contrato Cartões e Consulting - BRA26DADOS,Datos - Analytics,BRADESCO,,Minor,"188,560",Proposal,Brazil,FS,tmoreirab,htorresg,,Yes,FSCODA_10,3.0,01/07/25 14:22,10/07/25 14:22,,,,,,,,,,,,,,,,377120.0,2357000.0,23.0,,,No,03/11/25 12:27,01/07/25 14:30,01/10/25 13:30,"16/10/2025 - Oferta ganha segundo MOC
07/08/2025 - Mesmo status
30/07/2025 - Após entregue aguardando retorno
15/07/2025 - Primeira versão do MDC gerada
01/07/2025 - Criada a Oferta
02/07/2025 - Alinhamento com o responsável pricer direcionando o uso da PR
04/07/2025 - Alinhamento com operação e ajuste de valores usando a PR.
08/07/2025 - Enviado questionamento do RH referente a ROL.",03/11/25 12:27
OFBRA-3996,18814194,ceduardoc,Cancelled,SUZANO - GESTAO DE RISCOS CIBERNETICOS [IC_RCY_SUZ],Cyber,Suzano,,Minor,,Proposal,Brazil,Industry,prnascimento,ceduardoc,,No,,1.0,01/07/25 11:58,02/07/25 11:58,,,,,,,,,,,,,,,,,,,,,No,23/10/25 22:07,23/10/25 12:01,,"23/10/2025 - Jira não havia sido aberto, proposta foi entregue, porém MOC saiu do sistema",23/10/25 12:02
OFBRA-3758,18245742,wholanda,FollowUp,[CNP Seguradora]  RFI - Terceirização e Alocação de Mão de obra Especializada (CNP25DES01),DS - Other,CNP SEGURADORA, RFI - Terceirização e Alocação de Mão de obra Especializada,Minor,"480,000",Presale,Brazil,FS,jlgomes,wholanda,,No, FSCODS_1,1.0,01/07/25 03:50,04/07/25 13:48,ejesus,,,,,,,,,,,,,,,480000.0,3000000.0,24.0,,,Yes,14/11/25 15:53,02/07/25 12:19,30/12/25 18:06,"15/07 - Proposta enviada ao cliente
Neste BID não ofertaremos mão de obr administrativa. Apenas profissionais de tecnologia
04/09 - Aconteceu a defesa da proposta
01/10 - Revisão dos preços. CNP indicou que somos 40% maiores em taxa 
administrativa
24/10 - Feita nova simulação de preço (Regiões SP/RIO/Goiânia e João Pessoa). 
24/10 - Aguardando posicionamento do cliente


",
OFBRA-3772,18296130,fsuzuki,Cancelled, COGNA EDUCAÇÃO -  RATE CARD Bodyshop  IC_COG_BOD0001,Datos - Data Modernization,Cogna,,Minor,,Proposal,Brazil,Industry,fabgoncalves,fsuzuki,amiraldi,Yes,INCODS_34,7.0,27/06/25 14:42,09/01/26 14:42,,,,,,,,,,,,,,,,,,,,,Yes,23/12/25 10:19,10/07/25 14:55,,"22/12 - Reaberto pelo cliente
27/10 - Vamos encerrar devido à falta de retorno do cliente.
18/09 - GEP alterado de FSCODA_20 para INCODA_25 (foi criado no Mercado errado no anúncio)
04/07 Entregamos a oferta em 
22/08 Cliente solicitou revisão dos valores
",23/12/25 10:19
OFBRA-3761,18264809,jpascoalini,FollowUp,VIVO - Fabrica de Software Terra - TERRAFBSW,DS - Application Modernization,"Telefonica | VIVO",,Minor,"1,944,628",Proposal,Brazil,Media,lgustavof,wholanda,vgomess,No,TECODS_8,2.0,27/06/25 11:47,10/11/25 08:18,,,,,,,,,,,,,,,,1944628.0,1.2153925E7,21.0,,,Yes,26/12/25 11:38,04/07/25 12:00,01/01/26 17:53,"26/12/2025 - Aguardando resposta do cliente em relação a negociação comercial, proposta técnica ja revisada e validada pelo cliente.
21/11/2025 - Aguardando resposta do cliente.
10/11/2025 - Proposta comercial atualizada em conjunto com o mercado e disponibilizada ao cliente.
05/11/2025 - Cliente retornou com Target comercial para análise de atingimento.
31/10/2025 - Aguardando posicionamento do cliente.
23/10/2025 - Proposta Técnica e MDC atualizados, disponibilizados ao mercado.
15/10/2025 - Cliente solicitou atualizaçãode pirâmide de perfis e preço da proposta.
10/10/2025 - Aguardando posição do cliente.
01/10/2025 - Proposta tecnica e MDC atualizados e disponibilizados ao mercado.
30/09/2025 -  Cliente enviou atualização no eital. Proposta em processo de atualização.
26/09/2025 - Aguardando retorno do cliente.
04/09/2025 - Realizada defesa técnica com o cliente em 04/09.
29/08/2025 - Aguardando retorno do cliente.
26/08/2025 - Criado documento de reposta ao cliente evidenciando e comprovando as questões enviadas, liberado ao mercado.
22/08/2025 - Cliente solicitou ajustes e comprovações relacionados a proposta técnica.
01/08/2028 - Proposta elabora e liberada ao mercado.
28/07/2025 - Proposta em elaboração e em processo de ajustes finais do PMJ, proposta a ser entregue ao mercado em 01/08.
04/07/2025 - Revisão da proposta técnica e alinhamento sobre a oferta junto aos envolvidos
03/07/2025 - Elaboração do Draft do dimensionamento e inicio da elaboração da proposta técnica
02/07/2025 - Reunião de kick e alinhamento junto a todos os envolvidos
30/06/2025 - Inicio do entendimento e estruturação dos conteudos
27/06/2025 - Divulgação e Recebimento da oferta para Minsait",
OFBRA-3754,18220320,mcarvalhos,Cancelled,SUZANO - Projeto de Rollout de 400 desktops/laptops - [IC_SUZ_FOR],GU - Workplace (WP),Suzano,RFP,Minor,"3,253.75",Proposal,Brazil,Industry,rfontest,mcarvalhos,dbarul,No,INCOGU_16,0.02,27/06/25 10:46,04/07/25 10:46,,,,,,,,,,,,,,,,13015.0,81344.0,25.0,,,No,17/10/25 12:21,27/06/25 10:49,18/07/25 17:54,"17/10/2025 - Passando a oferta para cancelada pois não será contratado pelo cliente
10/10/2025 - Aguardando retorno do cliente
03/10/2025 - Aguardando retorno do cliente
26/09/2025 - Aguardando retorno do cliente
19/09/2025 - Aguardando retorno do cliente
12/09/2025 - Aguardando retorno do cliente
05/09/2025 - Aguardando retorno do cliente
29/08/2025 - Aguardando retorno do cliente
22/08/2025 - Aguardando definição do cliente
15/08/2025 - Solicitado informações aos mercado se a oferta seguirá adiante
25/07/2025 - Aguardando posicionamento do mercado se a oferta seguirá adiante
18/07/2025 - KAN informou que está suspenso essa oferta
11/07/2025 - Aguardando retorno do cliente
04/07/2025 - Enviado ao mercado a proposta técnica/comercial
27/06/2025 - Recebimento da demanda e gerado questionamentos ao cliente que já foram respondidos e solicitado orçamento para a GWA que já informou que não passará preço fechado do projeto, onde será necessário a elaboração do cronograma e pedir a cotação por diária dos técnicos",17/10/25 12:21
OFBRA-3757,18245705,rpuliti,FollowUp,CLARO - Squad de Melhorias técnicas - CLAPLAT4,P&A - OSS (Sistema de soporte operativo),Claro Brasil,Projeto,Minor,"577,124",Proposal,Brazil,Telco,kgruszkowska,rpuliti,ikolomenconkovas,No,TOCOPA_9,0.83,27/06/25 10:38,04/07/25 07:00,fdosa,,,,,,,,,,,,,,,577124.0,3607026.0,23.0,,,Yes,23/11/25 08:26,02/07/25 12:02,08/10/25 11:04,"24/10 - Mesmo Status
17/10 - Mesmo Status
10/10 - Mesmo Status
03/10 - Mesmo Status
26/09 - Mesmo Status
19/09 - Mesmo Status
12/09 - Mesmo Status
05/09 - Mesmo Status
29/08 - Mesmo Status
22/08 - Mesmo Status
11/08 - Aguardando feedback
11/07 - Aguardando retorno cliente
04/07 - Oferta Entregue
02/07 - WIP
01/07 - Esclarecimento do escopo com cliente
30/06 - Alinhamento com Account Manger
27/06 - Divulgação da Oferta",
OFBRA-3753,18220178,mcarvalhos,Cancelled,SUZANO - Ampliação do SDI - [IC_SUZ_SDI],GU - Service Desk (SD),Suzano,Ampliação do contrato MASTER,Minor,"13,540.75",Proposal,Brazil,Industry,rfontest,mcarvalhos,dbarul,No,INCOGU_17,2.0,27/06/25 10:31,04/07/25 10:31,,,,,,,,,,,,,,,,54163.0,338524.0,25.0,,,No,17/10/25 12:19,27/06/25 10:34,10/12/25 11:36,"17/10/2025 - Oferta passada a cancelada pois o cliente não seguirá com essa contratação
10/10/2025 - Aguardando retorno do cliente
03/10/2025 - Aguardando retorno do cliente
29/09/2025 - Informada em reunião de Cadência que foi perdida, porém sem atualização no MOC
19/09/2025 - Aguardando retorno do cliente
12/09/2025 - Aguardando retorno do cliente
05/09/2025 - Solicitado a redução de preço e enviado o MdC ajustado para o Antônio
29/05/2025 - Aguardando retorno do cliente
22/08/2025 - Ainda aguardando retorno do cliente
15/08/2025 - Solicitado informações ao KAN
25/07/2025 - Aguardando retorno do cliente
18/07/2025 - Aguardando retorno do cliente
11/07/2025 - Aguardando retorno do cliente
04/07/2025 - Aguardando retorno do cliente
27/06/2025 - Recebido a demanda, validado com Antônio de Maria o modelo e já enviado a proposta técnica/comercial ao mercado",17/10/25 12:19
OFBRA-3752,18219575,htorresg,Won-End,Renault - AT profissional para COE - IC_REN_COE,Datos - Analytics,Renault do Brasil,,Minor,"71,017",Proposal,Brazil,Industry,fbezescky,htorresg,,No,INCODA_20,1.0,27/06/25 09:14,01/07/25 09:14,,,,,,,,,,,,,,,,71017.0,,,,,No,31/07/25 10:31,27/06/25 09:29,,"31/07/2025 - informado em reunião de cadencias que oferta foi ganha, estamos em processo de contratação
16/07/2025 - Oferta apresentada
08/07/2025 - Enviado dados para cotação PJ . / enviado oferta para Operação para verificar viabilidades.
07/07/2025 - Oferta levada ao Comitê, porem não aprovada, devido a alinhamento com o cliente e o rate reportado por ele é bem menor que a oferta, saimos com a possibilidade de tentar uma abordagem com PJ.
03/07/2025 - Realizado ajustes na oferta
01/07/2025 - Entregue a Oferta para o Comercial
27/06/2025 - Criada a Oferta",31/07/25 10:31
OFBRA-3770,18294908,mbarbosa,Cancelled,PETROBRÁS - Administração e Operaçãode Plataformas de Software - [PB_SEGREDE],DIC - Other,Petrobras,,Minor,,Proposal,Brazil,Energy,aazevedol,mbarbosa,rbarretoo,No,ENCODI_10,4.0,27/06/25 00:00,28/07/25 17:00,,,,,,,,,,,,,,,,,,,,,Yes,15/07/25 22:06,10/07/25 10:59,30/11/25 00:00,"15/07/2025 - Oferta duplicada (OFBRA-3766). Seguindo com JIRA atualizado pela Prática
Kickoff  Realizado em 04/07/2025
Live fornecida pelo cliente para esclarecimento de dúvidas em 08/07/2025
FUPs diárias até a entrega da oferta (28/07/2025)
",15/07/25 12:02
OFBRA-3799,18353320,glopesal,Cancelled,VIVO - Upgrade DRACO - VIVODRAARG,P&A - Gestión de aplicaciones,"Telefonica | VIVO",Projeto,Minor,0,Presale,Brazil,Telco,leaattianese,glopesal,ikolomenconkovas,No,TECOPA_9,1.0,26/06/25 13:00,27/06/25 13:00,crenato,msilva,,,,,,,,,,,,,,0.0,,,,,No,29/08/25 22:06,22/07/25 12:32,,"29/08 - JIRA criado em duplicidade. JIRA correto é o OFBRA-2750.
22/07 - Criação do JIRA para acompanhamento",29/08/25 11:54
OFBRA-3751,18213757,priniesta,Lost,FHEMIG - DESENVOLVIMENTO DE SOFTWARE - [SAFHEMIG],DS - Software Factory,FHEMIG,,Minor,"356,005",Proposal,Brazil,PA,fcampelo,priniesta,,No,SACODS_4,1.0,24/06/25 10:50,02/07/25 09:00,,,,,,,,,,,,,,,,356005.0,2225032.0,24.0,,,No,12/10/25 18:07,26/06/25 18:32,02/01/26 18:00,"03/10: Acompanhando o andamento do Pregão.
26/09: Acompanhando o andamento do Pregão.
19/09: Acompanhando o andamento do Pregão.
12/09: Acompanhando o andamento do Pregão.
05/09: Acompanhando o andamento do Pregão.
29/08: Acompanhando o andamento do Pregão.
22/08: Acompanhando o andamento do Pregão.
15/08: Acompanhando o andamento do Pregão.
08/08: Acompanhando o andamento do Pregão.
01/08: Acompanhando o andamento do Pregão.
25/07: Acompanhando o andamento do Pregão.
18/07: Acompanhando o andamento do Pregão.
11/07: Acompanhando o andamento do Pregão.
04/07: Acompanhando o andamento do Pregão.
02/07: Pregão realizado. Ficamos em 7. lugar. Acompanhando o andamento do Pregão.
01/07: MDC enviado ao Mercado.
27/06: Oferta em fase de elaboração.
26/06: Oferta em fase de entendimento.
24/06: Oferta anunciada pelo Mercado. Pregão previsto para o dia 02/07.",12/10/25 18:07
OFBRA-3755,18229453,tasilva,FollowUp,[ELETROBRAS] Fábrica de Software - (ENELETRFS2),DS - Software Factory,Eletrobras,DS,Minor,"160,000",Proposal,Brazil,Energy,lpereiraca,wholanda,amiraldi,No,ENCODS_36,3.0,23/06/25 17:20,30/06/25 17:20,mdamascenoa,,,,,,,,,,,,,,,160000.0,1000000.0,30.0,,,No,18/12/25 09:48,30/06/25 17:24,29/10/25 17:14,"18/12 - Ainda sem resposta do cliente (mas não conseguimos atingir o target) 
24/11 - Ainda sem resposta do cliente (mas não conseguimos atingir o target) 
10/11 - Oferta foi enviada com uma redução de 4%, mas o cliente pede 70% (estamos aguardando rodadas comerciais, sem muitas expectativas);
21/10 - Oferta está em negociação comercial junto ao Florido (Status ainda a validar);
05/09 - Aguardando retorno comercial;
18/08 - Aguardando rodada comercial;
07/08 - Oferta comercial apresentada com margem de 28% e taxas de SP, Pricing solicitou as taxas de JP para propor validação de taxas e uma segunda rodada comercial;
28/07 - Somente oferta técnica entregue, comercial sendo preparada pelo Mercado;
30/06 - Oferta por iniciativa do Florido",
OFBRA-3746,18192090,taleixov,Cancelled,GESTAMP - Automação de Processos RPA da área de Logística - (IC_GES_LOG),Hyperautomation,Gestamp,Hyperautomation,Minor,"235,109",Presale,Brazil,Industry,fbezescky,taleixov,rctofic,No,INCODA_18,0.6,23/06/25 15:09,15/08/25 15:09,aangelo,areinerb,ecarneiro,gtadeus,,,,,,,,,,,,235109.0,1500000.0,25.0,,,No,14/08/25 10:32,23/06/25 15:15,,"14/08/2025 - Oferta retornou, porém será unificada no MOC IC_GES_IA (OFBRA-3543)
07/08/2025 - Mesmo status
30/07/2025 - Mesmo status
14/07/2025 - Sem atualizações
02/07/2025 - Em alinhamentos sobre a primeira prospecção
23/06/2025 - Anuncio da Oportunidade e criação do JIRA",14/08/25 10:32
OFBRA-3745,18192084,taleixov,Cancelled,GESTAMP - Automação de Processos RPA da área de Suprimentos  - (IC_GES_SUP) ,Hyperautomation,Gestamp,Hyperautomation,Minor,"235,109",Presale,Brazil,Industry,fbezescky,taleixov,rctofic,No,INCODA_17,0.6,23/06/25 14:43,15/08/25 14:43,aangelo,ecarneiro,gtadeus,rmartinsb,,,,,,,,,,,,235109.0,1500000.0,25.0,,,No,14/08/25 10:33,23/06/25 15:05,,"14/08/2025 - Oferta retornou, porém será unificada no MOC IC_GES_IA (OFBRA-3543)
07/08/2025 - Mesmo status
30/07/2025 - Mesmo status
14/07/2025 - Sem atualizações
02/07/2025 - Em alinhamentos sobre a primeira prospecção
23/06/2025 - Anuncio da Oportunidade e Criação do Jira",14/08/25 10:33
OFBRA-3749,18201402,jdoss,Won-End,Gestamp - Customização SAP Back to Back [IC_GES_B2B],SGE - SAP S4 Hana,Gestamp,Projeto,Minor,"18,400",Proposal,Brazil,Industry,fbezescky,jdoss,,No,INCOSG_65,0.3,23/06/25 09:34,27/06/25 09:34,,,,,,,,,,,,,,,,18400.0,115002.0,25.0,,,No,06/08/25 14:41,25/06/25 09:38,06/10/25 11:47,"06/08: Oferta ganha, já temos a PO, processo de assinatura do contrato.
17/07: Oferta esta em negociação.
04/07: Oferta entregue ao cliente via operação.
30/06: Oferta foi postergada, esta em elaboração no momento.
25/06: Oferta recebida. ",06/08/25 14:41
OFBRA-3748,18201355,holiveiram,Abandoned,MV SISTEMAS - Rate Card e Sustentação SALESFORCE  [IC_MV_SF],SGE - Sales Force,MV SISTEMAS,Ratecard,Minor,"533,498",Proposal,Brazil,Industry,mcorreaf,holiveiram,,No,INCOSG_66,1.0,23/06/25 09:22,09/07/25 09:22,,,,,,,,,,,,,,,,533498.0,3334368.0,30.0,,,No,06/10/25 07:50,25/06/25 09:24,10/11/25 14:41,"06/10: Oferta abandonada por falta de retorno do cliente.
02/09: Aguardando retorno do cliente. 
14/08: Aguardando retorno do cliente.
17/07: Feito defesa técnica da proposta, no momento esta sendo analisado pelo cliente.
10/07: Oferta entregue ao mercado.
04/07: Oferta sendo trabalhada.
25/06: Oferta recebida. ",06/10/25 07:50
OFBRA-3747,18200989,htorresg,Cancelled,AZUL - Implementação Data Revenue - ICPRO_ADR,Datos - Analytics,Azul Linhas Aéreas,Dados,Minor,"72,548.4",Proposal,Brazil,Industry,fcrivano,htorresg,,No,INCODA_19,0.8,23/06/25 08:44,06/08/25 12:44,,,,,,,,,,,,,,,,241828.0,1511424.0,24.0,,,No,10/11/25 10:01,25/06/25 08:52,30/12/25 12:01,"03/11 - Oferta Cancelada pois deixou de ser prioridade do Cliente.
22/09 - Reunião com o cliente
01/09 - Nova apresentação ao cliente a ser elaborada
06/08/2025 - Enviado MDC semana passada pelo pricer e enviada proposta técnica v2 para KAM
30/07/2025 - Mercado deseja apresentar uma nova versão, em revisão final do MDC
16/07/2025 - Após desenvolvimento da oferta e alinhamentos, Mercado decidiu manter a oferta on hold para alinhamento de escopo com o cliente
26/06/2025 - Alinhamento interno - foi marcado uma agenda para entendimento da demanda.
25/06/2025 - Criada a Oferta no Jira.",10/11/25 10:01
OFBRA-3977,18772500,wholanda,Rejected,SICOOB - book build - (SC25CFS),DS - Application Modernization,SICOOB,,Minor,,Proposal,Brazil,FS,amalheiros,wholanda,,No,FSCODS_1,0.13,22/06/25 20:00,22/07/25 20:00,,,,,,,,,,,,,,,,,,,,,No,21/10/25 12:11,16/10/25 10:34,,"16/10/2025 - Jira aberto para contabilizar NoGo, e possuir rastreabilidade no MOC - Aberto por Luana Aguiar - BM
",21/10/25 12:11
OFBRA-3750,18211914,ncramos,Rejected, BRADESCO - Inclusão de PA's - BPO Corporativo - (BRA24BPO03),BPO - BO,BRADESCO,1,Minor,,Presale,Brazil,FS,tmoreirab,ncramos,treginaa,No,FSCOBP_10,0.3,20/06/25 11:23,31/08/25 11:23,,,,,,,,,,,,,,,,,,,,,No,28/10/25 15:57,26/06/25 11:29,,"28/10 - NoGo conforme MOC (O projeto não será realizado). 
28/07/2025 22ª aditivo em processo de assinatura - nesta data foi assinado o 21ª aditivo
26/06 - start para elaboração do MDC",28/10/25 15:57
OFBRA-3739,18169138,priniesta,Won-End,CORPO DE BOMBEIROS DE SERGIPE - ADESÃO AO CONTRATO DO CIOSP - [SECBMSEF02],GU - Workplace (WP),CORPO DE BOMBEIROS DE SERGIPE,,Minor,"8,902,672",Proposal,Brazil,PA,anemezio,priniesta,,No,APCOGU_6,4.0,18/06/25 09:23,07/07/25 18:00,,,,,,,,,,,,,,,,8902672.0,5.5641702E7,23.0,,,No,17/11/25 18:55,18/06/25 10:14,27/12/25 18:00,"17/11: Ajuste do codigo GEP.
30/06: Oferta aceita pelo cliente.
27/06: MDC enviado ao Mercado.
20/06: Oferta em fase de elaboração.
18/06: Oferta anunciada pelo Mercado. Previsão de entrega em 07/07.",17/11/25 18:55
OFBRA-3737,18163406,priniesta,Lost,TJ/PB - SERVIÇOS TÉCNICOS ESPECIALIZADOS EM PLATAFORMA LIFERAY - [PBTJPBA02],DS - Portales Web,TJ/PB,,Minor,"285,276",Proposal,Brazil,PA,rrodrigues,priniesta,,No,APCODS_39,1.0,17/06/25 17:58,01/07/25 09:00,,,,,,,,,,,,,,,,285276.0,1782978.0,24.0,,,No,29/07/25 18:39,17/06/25 18:01,01/01/26 18:00,"18/07: Acompanhando o andamento do Pregão.
11/07: Acompanhando o andamento do Pregão.
04/07: Acompanhando o andamento do Pregão.
01/07: Pregão realizado. Ficamos em 2. lugar. Acompanhando o andamento do Pregão.
30/06: MDC enviado ao Mercado.
27/06: Oferta em fase de elaboração.
20/06: Oferta em fase de entendimento.
17/06: Oferta anunciada pelo Mercado. Pregão previsto para o dia 01/07.",29/07/25 18:39
